# f0,f1,f2,f3,f4
4.959615846259686212e-01,3.745697280272991536e-01,1.084652415234472686e-02,8.449362085573540460e-02,1.352164334234402104e-02
-6.227061527413786379e-01,-2.004430317865313893e-01,8.669116164162460033e-04,-2.477085623165118100e-01,-6.314220862520698863e-02
1.132540281377649172e-01,-1.008113498025295512e-01,-1.239102088686081437e-03,-7.462325707232082481e-03,2.729959078498751454e-03
4.591106601523785025e-01,1.737120519841425792e-01,1.151814505775746594e-02,8.244274550815219871e-02,1.532049375181116987e-02
5.222054196547089022e-01,4.633658881957836706e-01,1.485443260373813315e-02,9.312758513756336232e-02,1.197966976308322343e-02
5.137434460345349230e-01,3.565232208947020087e-01,9.484107424294735064e-03,1.667792682217699995e-01,2.156235075822706890e-02
4.858907434864693231e-01,1.819976403674453957e-01,1.405044187317912481e-02,1.917217193545227016e-01,2.431638699350202257e-02
4.459609220909950822e-01,6.590233617716194370e-02,5.414104711705931480e-03,8.185493651345467081e-02,5.028369345971271144e-03
-5.442403457897853070e-01,-1.964418313572360852e-01,3.298255376978431806e-04,5.581806294565921922e-02,-6.284288344964977790e-02
-6.907924241465457360e-01,-2.135819147993544276e-01,-2.960864645912124685e-03,-4.728454470407609800e-01,-8.629132457286914359e-02
-3.653626683454458957e-01,-5.249225101579498010e-03,-1.558087019691925057e-03,6.821092628377556366e-02,1.672764725973379871e-02
4.965182965631521617e-01,3.588612671175266389e-01,9.017800883906374604e-03,9.244076804554623994e-02,1.567763262008071631e-02
5.086471251593007725e-01,3.030247222677570629e-01,1.100735076691762571e-02,1.766329623643056734e-01,2.115492169265877423e-02
-4.241693943034971492e-01,-1.019748976293749360e-01,-1.216326157531796154e-02,5.800040774987479802e-02,1.122725926571447978e-02
-1.413163389919986973e-03,-8.146500599925615704e-02,-9.956177025793521915e-04,4.476568747080051508e-02,9.190416841838810330e-03
-5.558671489088302664e-01,-1.790531098107789043e-01,-3.181202016062343457e-03,-9.886812257011541594e-02,2.039164475971858709e-02
5.522613082588878619e-01,5.419726873735362105e-01,8.485611955893545416e-03,1.631959675421436051e-01,2.480589174358129728e-02
-5.427762030477731869e-01,-1.736794592617155741e-01,-4.064166372870090839e-03,-2.297104570265844428e-02,1.653544490942806394e-02
-6.040855872421889705e-01,-1.818793784013593151e-01,-1.228659097298532296e-03,-1.635341155926181567e-01,-6.707325943665466694e-02
-2.908295392462977857e-01,-1.258522817759325230e-01,-1.559905692770740919e-02,7.501417736773091649e-02,1.935084011370008863e-02
1.134759897562767628e-01,-2.010805599068726246e-01,-1.127923935225851396e-02,-2.026100274316121330e-02,5.754275111263069606e-03
5.344614509762908305e-01,4.035293799180920127e-01,1.476929273489304209e-02,2.035226962593836286e-01,2.558345236253529650e-02
4.657921693803872554e-01,-6.737084864038962728e-03,3.167329597485945419e-02,1.912830266427479886e-01,1.859797907072532896e-02
-3.073570878136874240e-01,-4.899568337537772017e-02,-1.280191254811256785e-02,7.809377260403238541e-02,9.193839040292459130e-03
4.819210188831828945e-01,1.808028635713530841e-01,1.078926685219130412e-02,1.780322947537084088e-01,2.815091616877197014e-02
3.821598295101588660e-01,-1.211667248636507516e-01,-8.113727598582727921e-03,4.173124853079741674e-03,9.620932593616089018e-03
5.389504276463759069e-01,5.505467942699908690e-01,1.393611755697065670e-02,1.183377769957647263e-01,2.015682801977874278e-02
3.007525291874762474e-01,-7.798137405370994535e-02,-6.723496390330865533e-03,3.756899468633321127e-03,1.538646627635372952e-02
5.147330304998678496e-01,4.023943243128508263e-01,8.259741228177972308e-03,1.129843692070679195e-01,2.231411285770406108e-02
4.626094224743566574e-01,-2.604432656148674297e-03,2.559756903666880051e-02,1.873902963494956109e-01,1.847576674675991543e-02
-4.042041572459797449e-01,-5.598039947868670846e-02,-1.126370243813028076e-02,6.917354777107931341e-02,2.060493528410290917e-02
4.856080815959313846e-01,1.905218524476201547e-01,1.285646086006408950e-02,1.650445246225277218e-01,2.846550874106213921e-02
3.317799214846129940e-01,-6.462905158412582396e-02,-9.301941398504709468e-03,3.670623388840396975e-03,2.249520593918646200e-02
5.138553017910220122e-01,3.497495939226251682e-01,8.083438448322795636e-03,1.627564372468535137e-01,2.214573921303866766e-02
5.516242978501270100e-01,5.060699887956462417e-01,8.691704296618070133e-03,2.003776057187079129e-01,2.233295865421638243e-02
2.541315624362837644e-01,-1.709320734024379340e-01,-1.751717956437005494e-02,-3.600115541243838028e-03,3.527104434210741671e-03
-6.316151883312932647e-01,-1.939933790094886534e-01,-5.355834935267580685e-03,-3.230992811519155516e-01,-1.516395810504093250e-02
4.636156277436566664e-01,2.086471061933480031e-01,1.160193447300116552e-02,8.678331924862306423e-02,1.073087557958700769e-02
