# f0,f1,f2,f3,f4
-7.106113866619171437e-01,-1.049608392951836278e-01,1.799795650774740387e-03,-2.440665179020441999e-01,-5.621111501530776794e-02
-6.050657878515721677e-01,-1.139200929390835892e-01,-1.125917230729100933e-04,5.145130447736960544e-02,-2.309694859349292403e-02
5.246074932040665217e-01,7.514813984354078158e-02,-7.063325335229819237e-04,1.092008908625780317e-01,1.584250048454350843e-02
-7.707687138412393502e-01,-1.081875884490534623e-01,1.498103747019286034e-03,-4.005342459199738303e-01,-5.348903638403498806e-02
5.349325711710253284e-01,7.484723398050846521e-02,-1.157597821184026604e-03,1.470280225256214990e-01,1.509685294835662675e-02
6.549222380374886132e-02,-1.391982038227342899e-01,-7.854097935205572477e-04,1.570853030562830224e-02,1.700950305697688375e-02
-1.035200779676551941e-01,-1.178385598017257507e-01,2.820943409733444891e-04,6.949834363877016585e-02,1.645838381053408780e-02
6.166331003835944236e-01,4.013215371566548062e-01,8.130236881925156272e-05,1.368211969166031883e-01,1.683353518438025428e-02
-2.964278017153423872e-01,-7.361304229515554243e-02,-4.493219367213896671e-04,1.155331576360731499e-01,2.323970776289797924e-02
5.333232281358459836e-01,9.189360587227839161e-02,3.362412378874069115e-04,1.314523766500065027e-01,1.308697988408539375e-02
-6.547112454420493943e-01,-1.069848759083924933e-01,1.255278271955830765e-03,-1.243464952657848260e-01,-1.618521724264610287e-02
5.142766759300820834e-01,-6.740956706361884987e-02,-2.613389631637801341e-03,1.525740889017402069e-01,1.284359147852001150e-02
-6.782229918754728581e-01,-1.097417697491619021e-01,-5.860117131305742294e-04,-1.802891211683425032e-01,-1.536042873105543556e-02
6.001365291121237844e-01,3.820214871553935243e-01,5.512738150173391184e-04,9.607815288231222328e-02,1.482136652922463362e-02
5.385355578606549898e-01,5.752326268119872799e-02,-1.813838926700554960e-03,1.775139683187080542e-01,1.377333183093696831e-02
-5.941736734168217016e-01,-1.115944830041530611e-01,-1.781992207697840084e-03,-7.219991157416359717e-02,-4.992797296140451951e-02
-7.439096076419172698e-01,-1.046768865644776281e-01,1.308244538920462149e-03,-3.397710345863180215e-01,-4.310788490710365517e-02
-2.219375062474046034e-01,-1.092121091861781718e-01,-1.110063314904437054e-03,1.138190758156679278e-01,1.902734959844338061e-02
